"Word","Length","Log_Freq_HAL","predicted_gaze_duration_default"
"a",1,16.177,179.936675250976
"aah",3,5.403,245.246677488309
"Aaron",5,9.288,230.150200219068
"aback",5,5.958,250.512293924396
"abacus",6,6.24,253.158343824209
"abandon",7,8.232,244.933996173233
"abandoned",9,8.549,251.713433565082
"abandoning",10,6.913,267.101113734529
"abandonment",11,6.667,273.575158994394
"abase",5,3.401,267.362296180033
"abasement",9,1.946,297.790990743845
"abash",5,0,291.543156065756
"abate",5,5.631,252.606472533681
"abated",6,4.97,261.477200203769
"abbess",6,3.497,271.468752914204
"abbey",5,7.735,239.431831617441
"abbot",5,6.423,247.564196157572
"abbreviate",10,5.313,278.205607089279
"abbreviated",11,7.102,270.56221311155
"abbreviation",12,7.554,272.239264706045
"abbreviations",13,7.816,275.254921238025
"abdicate",8,4.771,272.267770229523
"abdomen",7,7.154,251.749042161669
"abdominal",9,6.745,263.543355722148
"abduct",6,5.193,259.996952345474
"abduction",9,7.598,257.881979049579
"Abe",3,7.119,234.763412945638
"abed",4,4.963,252.434685330997
"Abel",4,6.917,240.184455030697
"Abel's",6,3.951,268.349171837455
"aberrant",8,5.112,269.914375258459
"aberration",10,6.321,271.157153018675
"aberrations",11,5.7,280.393642682074
"abet",4,4.394,256.117997943808
"abetted",7,4.883,266.73304682414
"abeyance",8,3.584,280.620979900205
"abhor",5,5.948,250.576078002111
"abhorred",8,4.466,274.390091925298
"abhorrent",9,5.903,269.253606213794
"abide",5,7.584,240.354024596239
"abides",6,6.094,254.101058828812
"abiding",7,7.217,251.34559366559
"Abigail",7,6.541,255.708625033766
"abilities",9,9.108,248.156632571453
"ability",7,10.949,228.564580897065
"abject",6,6.225,253.25503667923
"ablaze",6,5.037,261.031578590328
"able",4,12.081,210.595865484849
"ably",4,5.545,248.722013718587
"abnormal",8,7.698,252.716886256737
"abnormalities",13,6.468,284.864984295167
"abnormality",11,5.673,280.586443623322
"abnormally",10,5.919,273.946479154329
"aboard",6,8.222,240.701355274297
"abode",5,6.186,249.062414026304
"abolish",7,7.382,250.292004385693
"abolished",9,7.285,259.945100313168
"abolition",9,6.718,263.724570269513
"abolitionist",12,4.898,291.28388716239
"abolitionists",13,4.605,298.701271992182
"abominable",10,6.159,272.277776985723
"abominate",9,1.099,304.282022020098
"aboriginal",10,7.286,264.5767490007
"aborigine",9,4.263,280.733320807997
"aborigines",10,6.236,271.744558405272
"abort",5,7.929,238.252218629959
"abortion",8,9.727,239.994286506334
"abortionist",11,5.328,283.061712330811
"abortions",9,8.234,253.74012411215
"abortive",8,5.361,268.208773929733
"abound",6,6.971,248.490645895091
"abounded",8,4.357,275.152566888525
"abounding",9,4.605,278.29966723953
"abounds",7,5.749,260.916783479886
"about",5,14.083,203.702378221068
"above",5,12.089,214.310024530535
"aboveground",11,2.944,300.773450045836
"abracadabra",11,4.29,290.641504972401
"Abraham",7,8.249,244.82801420826
"abrasion",8,5.521,267.11849728693
"abrasive",8,6.356,261.500124684173
"abreast",7,6.196,257.964427379766
"abridged",8,6.681,259.345419807369
"abridgment",10,3.738,289.587391848265
"abroad",6,8.697,237.808165917649
"abrogate",8,4.605,273.420825904033
"abrogated",9,4.852,276.555159708886
"abrupt",6,6.578,250.989293070557
"abruptly",8,7.115,256.495719141324
"abruptness",10,3.135,294.067233597544
"abscess",7,4.564,268.908051252941
"abscesses",9,4.691,277.691022665205
"abscissa",8,2.89,285.623049924436
"abscond",7,2.833,281.023325502506
"absence",7,8.896,240.828368522619
"absences",8,4.963,270.940178805232
"absent",6,8.013,241.985484343466
"absented",8,1.386,296.771383511103
"absentee",8,5.024,270.519748487347
"absenteeism",11,4.357,290.1461801935
"absently",8,5.247,268.988309883856
"absentmindedly",14,3.892,309.600287020731
"absinth",7,2.079,286.46981391851
"absolute",8,9.732,239.963739319592
"absolutely",10,10.518,243.678668257419
"absoluteness",12,3.135,304.655363594751
"absolutes",9,6.375,266.037541403517
"absolution",10,4.942,280.845706689188
"absolutism",10,5.283,278.418166796347
"absolve",7,5.407,263.198428540719
"absorb",6,7.933,242.478828041989
"absorbed",8,7.991,250.838819239975
"absorbency",10,4.407,284.697034258155
"absorbent",9,5.263,273.67655892358
"absorber",8,4.963,270.940178805232
"absorbing",9,6.838,262.920124855897
"absorbs",7,6.428,256.445301181113
"absorption",10,7.459,263.414043551144
"absorptions",11,2.398,304.983448892775
"absorptive",10,3.466,291.599637696248
"abstain",7,6.867,253.595184707532
"abstaining",10,5.247,278.673452828673
"abstention",10,4.277,285.640819344967
"abstinence",10,6.891,267.250753823883
"abstinent",9,4.29,280.540418942203
"abstract",8,9.06,244.104337446871
"abstracted",10,5.565,276.426500303738
"abstractedness",14,0.693,335.869569719828
"abstracting",11,4.727,287.425968435699
"abstraction",11,7.375,268.688300112796
"abstractionism",14,0,341.847743121603
"abstractionists",15,1.099,338.347421406658
"abstractions",12,6.238,281.514608236692
"abstractive",11,1.946,308.513197646733
"abstractly",10,4.963,280.695600378594
"abstractors",11,0,324.182396412142
"abstracts",9,8.316,253.210975426401
"abstruse",8,5.056,270.299455832436
"absurd",6,8.514,238.918664111579
"absurdities",11,5.704,280.365090849061
"absurdity",9,6.988,261.918017894534
"absurdly",8,5.756,265.525183538139
"abundance",9,7.509,258.46694563046
"abundant",8,7.231,255.739365411807
